#	a=R		a=R/2		a=2R
#Z (cm)	B(mT)	Z (cm)	B(mT)	Z (cm)	B(mT)
-20.0	0.43	-20.00	0.39	-22	0.82
-19.0	0.47	-19.00	0.41	-21	0.87
-18.0	0.55	-18.00	0.45	-18	0.89
-17.0	0.62	-17.00	0.54	-17	0.87
-16.0	0.70	-16.00	0.61	-16	0.87
-15.0	0.78	-15.00	0.67	-15	0.85
-14.0	0.84	-14.00	0.74	-14	0.81
-13.0	0.89	-13.00	0.82	-13	0.79
-12.0	0.95	-12.00	0.89	-12	0.76
-11.0	0.97	-11.00	0.96	-11	0.74
-10.0	0.99	-10.00	1.00	-10	0.73
-9.0	1.01	-9.00	1.07	-9	0.69
-8.0	1.02	-8.00	1.12	-8	0.67
-7.0	1.02	-7.00	1.19	-7	0.65
-6.0	1.03	-6.00	1.22	-6	0.64
-5.0	1.03	-5.00	1.28	-5	0.61
-4.0	1.03	-4.00	1.32	-4	0.60
-3.0	1.03	-3.00	1.33	-3	0.59
-2.0	1.03	-2.00	1.34	-2	0.58
-1.0	1.03	-1.00	1.37	-1	0.58
0.0	1.03	0.00	1.38	0	0.58
1.0	1.03	1.00	1.37	1	0.58
2.0	1.03	2.00	1.34	2	0.58
3.0	1.02	3.00	1.33	3	0.59
4.0	1.02	4.00	1.30	4	0.60
5.0	1.03	5.00	1.26	5	0.61
6.0	1.02	6.00	1.23	6	0.64
7.0	1.02	7.00	1.20	7	0.65
8.0	1.02	8.00	1.16	8	0.67
9.0	1.01	9.00	1.11	9	0.69
10.0	0.98	10.00	1.05	10	0.73
11.0	0.93	11.00	0.98	11	0.74
12.0	0.92	12.00	0.91	12	0.76
13.0	0.89	13.00	0.82	13	0.79
14.0	0.84	14.00	0.72	14	0.81
15.0	0.79	15.00	0.66	15	0.85
16.0	0.69	16.00	0.60	16	0.87
17.0	0.62	17.00	0.55	17	0.87
18.0	0.54	18.00	0.43	18	0.88
19.0	0.46	19.00	0.40	21	0.87
20.0	0.44	20.00	0.38	22	0.85
