#	a=R		a=R/2		a=2R
#Z (cm)	B(mT)	Z (cm)	B(mT)	Z (cm)	B(mT)
-20.0	0.41	-20.00	0.37	-22	0.71
-19.0	0.45	-19.00	0.39	-21	0.75
-18.0	0.52	-18.00	0.43	-18	0.77
-17.0	0.59	-17.00	0.51	-17	0.75
-16.0	0.67	-16.00	0.58	-16	0.75
-15.0	0.74	-15.00	0.64	-15	0.73
-14.0	0.80	-14.00	0.70	-14	0.7
-13.0	0.85	-13.00	0.78	-13	0.68
-12.0	0.90	-12.00	0.85	-12	0.66
-11.0	0.92	-11.00	0.91	-11	0.64
-10.0	0.94	-10.00	0.95	-10	0.63
-9.0	0.96	-9.00	1.02	-9	0.6
-8.0	0.97	-8.00	1.07	-8	0.58
-7.0	0.97	-7.00	1.13	-7	0.56
-6.0	0.98	-6.00	1.16	-6	0.55
-5.0	0.98	-5.00	1.22	-5	0.53
-4.0	0.98	-4.00	1.26	-4	0.52
-3.0	0.98	-3.00	1.27	-3	0.51
-2.0	0.98	-2.00	1.28	-2	0.5
-1.0	0.98	-1.00	1.30	-1	0.5
0.0	0.98	0.00	1.31	0	0.5
1.0	0.98	1.00	1.30	1	0.5
2.0	0.98	2.00	1.28	2	0.5
3.0	0.97	3.00	1.27	3	0.51
4.0	0.97	4.00	1.24	4	0.52
5.0	0.98	5.00	1.20	5	0.53
6.0	0.97	6.00	1.17	6	0.55
7.0	0.97	7.00	1.14	7	0.56
8.0	0.97	8.00	1.10	8	0.58
9.0	0.96	9.00	1.06	9	0.6
10.0	0.93	10.00	1.00	10	0.63
11.0	0.89	11.00	0.93	11	0.64
12.0	0.88	12.00	0.87	12	0.66
13.0	0.85	13.00	0.78	13	0.68
14.0	0.80	14.00	0.69	14	0.7
15.0	0.75	15.00	0.63	15	0.73
16.0	0.66	16.00	0.57	16	0.75
17.0	0.59	17.00	0.52	17	0.75
18.0	0.51	18.00	0.41	18	0.76
19.0	0.44	19.00	0.38	21	0.75
20.0	0.42	20.00	0.36	22	0.73
