#	a=R		a=R/2		a=2R
#Z (cm)	B(mT)	Z (cm)	B(mT)	Z (cm)	B(mT)
-20.00	0.41	-20.00	0.37	-22.00	0.71
-19.00	0.45	-19.00	0.39	-21.00	0.75
-18.00	0.52	-18.00	0.43	-18.00	0.77
-17.00	0.59	-17.00	0.51	-17.00	0.75
-16.00	0.67	-16.00	0.58	-16.00	0.75
-15.00	0.74	-15.00	0.64	-15.00	0.73
-14.00	0.80	-14.00	0.70	-14.00	0.70
-13.00	0.85	-13.00	0.78	-13.00	0.68
-12.00	0.90	-12.00	0.85	-12.00	0.66
-11.00	0.92	-11.00	0.91	-11.00	0.64
-10.00	0.94	-10.00	0.95	-10.00	0.63
-9.00	0.96	-9.00	1.02	-9.00	0.60
-8.00	0.97	-8.00	1.07	-8.00	0.58
-7.00	0.97	-7.00	1.13	-7.00	0.56
-6.00	0.98	-6.00	1.16	-6.00	0.55
-5.00	0.98	-5.00	1.22	-5.00	0.53
-4.00	0.98	-4.00	1.26	-4.00	0.52
-3.00	0.98	-3.00	1.27	-3.00	0.51
-2.00	0.98	-2.00	1.28	-2.00	0.50
-1.00	0.98	-1.00	1.30	-1.00	0.50
0.00	0.98	0.00	1.31	0.00	0.50
1.00	0.98	1.00	1.30	1.00	0.50
2.00	0.98	2.00	1.28	2.00	0.50
3.00	0.97	3.00	1.27	3.00	0.51
4.00	0.97	4.00	1.24	4.00	0.52
5.00	0.98	5.00	1.20	5.00	0.53
6.00	0.97	6.00	1.17	6.00	0.55
7.00	0.97	7.00	1.14	7.00	0.56
8.00	0.97	8.00	1.10	8.00	0.58
9.00	0.96	9.00	1.06	9.00	0.60
10.00	0.93	10.00	1.00	10.00	0.63
11.00	0.89	11.00	0.93	11.00	0.64
12.00	0.88	12.00	0.87	12.00	0.66
13.00	0.85	13.00	0.78	13.00	0.68
14.00	0.80	14.00	0.69	14.00	0.70
15.00	0.75	15.00	0.63	15.00	0.73
16.00	0.66	16.00	0.57	16.00	0.75
17.00	0.59	17.00	0.52	17.00	0.75
18.00	0.51	18.00	0.41	18.00	0.76
19.00	0.44	19.00	0.38	21.00	0.75
20.00	0.42	20.00	0.36	22.00	0.73
