#Z (a=R)	r=0     	r=10	r=14	r=16
#(cm)	(mT)	(mT)	(mT)	(mT)
0.0	1.03	0.99	0.83	0.67
1.0	1.03	0.99	0.84	0.68
2.0	1.02	1.00	0.88	0.72
3.0	1.03	1.02	0.93	0.80
4.0	1.03	1.05	0.99	0.87
5.0	1.02	1.10	1.08	1.00
6.0	1.02	1.13	1.19	1.18
7.0	1.01	1.16	1.31	1.44
8.0	1.00	1.18	1.43	1.76
9.0	0.99	1.19	1.49	2.00
10.0	0.97	1.19	1.47	1.94
11.0	0.96	1.17	1.43	1.79
12.0	0.93	1.11	1.30	1.49
13.0	0.91	1.05	1.16	1.23
14.0	0.87	0.98	1.01	0.99
15.0	0.84	0.91	0.90	0.84
16.0	0.80	0.84	0.82	0.71
17.0	0.75	0.77	0.72	0.63
18.0	0.71	0.70	0.64	0.56
19.0	0.68	0.64	0.57	0.51
20.0	0.64	0.59	0.54	0.46
