#Z (a=R)	r=0     	r=10	r=14	r=16
#(cm)	(mT)	(mT)	(mT)	(mT)
0.0	1.01	0.97	0.81	0.66
1.0	1.01	0.97	0.82	0.67
2.0	1.00	0.98	0.86	0.71
3.0	1.01	1.00	0.91	0.78
4.0	1.01	1.03	0.97	0.85
5.0	1.00	1.08	1.06	0.98
6.0	1.00	1.11	1.17	1.16
7.0	0.99	1.14	1.28	1.41
8.0	0.98	1.16	1.40	1.73
9.0	0.97	1.17	1.46	1.96
10.0	0.95	1.17	1.44	1.90
11.0	0.94	1.15	1.40	1.75
12.0	0.91	1.09	1.27	1.46
13.0	0.89	1.03	1.14	1.21
14.0	0.85	0.96	0.99	0.97
15.0	0.82	0.89	0.88	0.82
16.0	0.78	0.82	0.80	0.70
17.0	0.74	0.75	0.71	0.62
18.0	0.70	0.69	0.63	0.55
19.0	0.67	0.63	0.56	0.50
20.0	0.63	0.58	0.53	0.45
