#Z (a=R)	r=0     	r=10	r=14	r=16
#(cm)	(mT)	(mT)	(mT)	(mT)
0.00	1.06	1.02	0.85	0.69
1.00	1.06	1.02	0.86	0.70
2.00	1.05	1.03	0.90	0.75
3.00	1.06	1.05	0.96	0.82
4.00	1.06	1.08	1.02	0.89
5.00	1.05	1.13	1.11	1.03
6.00	1.05	1.17	1.23	1.22
7.00	1.04	1.20	1.34	1.48
8.00	1.03	1.22	1.47	1.82
9.00	1.02	1.23	1.53	2.06
10.00	1.00	1.23	1.51	2.00
11.00	0.99	1.21	1.47	1.84
12.00	0.96	1.14	1.33	1.53
13.00	0.93	1.08	1.20	1.27
14.00	0.89	1.01	1.04	1.02
15.00	0.86	0.93	0.92	0.86
16.00	0.82	0.86	0.84	0.74
17.00	0.78	0.79	0.75	0.65
18.00	0.74	0.72	0.66	0.58
19.00	0.70	0.66	0.59	0.53
20.00	0.66	0.61	0.56	0.47
