#Z (a=R)	r=0	r=10	r=14	r=16
#(cm)	(mT)	(mT)	(mT)	(mT)
0.0	0.00	0.00	0.01	0.00
1.0	0.00	-0.01	-0.04	-0.06
2.0	0.01	-0.03	-0.08	-0.11
3.0	0.00	-0.03	-0.13	-0.22
4.0	0.00	-0.04	-0.19	-0.30
5.0	0.00	-0.04	-0.19	-0.36
6.0	0.00	-0.03	-0.20	-0.40
7.0	0.00	0.00	-0.18	-0.39
8.0	0.00	0.02	-0.10	-0.29
11.0	0.00	0.13	0.26	0.43
12.0	0.00	0.16	0.35	0.58
13.0	0.00	0.19	0.40	0.63
14.0	0.00	0.21	0.43	0.63
15.0	0.00	0.22	0.42	0.60
16.0	0.00	0.23	0.41	0.54
17.0	0.00	0.22	0.39	0.49
18.0	0.00	0.21	0.36	0.44
19.0	-0.01	0.21	0.34	0.41
20.0	0.00	0.20	0.31	0.36
