#Z (a=R)	r=0	r=10	r=14	r=16
#(cm)	(mT)	(mT)	(mT)	(mT)
0.0	0.00	0.00	0.01	0.00
1.0	0.00	-0.01	-0.04	-0.06
2.0	0.01	-0.03	-0.08	-0.11
3.0	0.00	-0.03	-0.13	-0.21
4.0	0.00	-0.04	-0.18	-0.29
5.0	0.00	-0.04	-0.18	-0.35
6.0	0.00	-0.03	-0.19	-0.39
7.0	0.00	0.00	-0.17	-0.38
8.0	0.00	0.02	-0.10	-0.28
11.0	0.00	0.13	0.25	0.42
12.0	0.00	0.16	0.34	0.56
13.0	0.00	0.18	0.39	0.61
14.0	0.00	0.20	0.42	0.61
15.0	0.00	0.21	0.41	0.58
16.0	0.00	0.22	0.40	0.52
17.0	0.00	0.21	0.38	0.48
18.0	0.00	0.20	0.35	0.43
19.0	-0.01	0.20	0.33	0.40
20.0	0.00	0.19	0.30	0.35
