#Z (a=R)	r=0	r=10	r=14	r=16
#(cm)	(mT)	(mT)	(mT)	(mT)
0.00	0.00	0.00	0.01	0.00
1.00	0.00	-0.01	-0.04	-0.06
2.00	0.01	-0.03	-0.08	-0.11
3.00	0.00	-0.03	-0.13	-0.21
4.00	0.00	-0.04	-0.18	-0.30
5.00	0.00	-0.04	-0.18	-0.36
6.00	0.00	-0.03	-0.19	-0.40
7.00	0.00	0.00	-0.17	-0.39
8.00	0.00	0.02	-0.10	-0.29
11.00	0.00	0.13	0.26	0.43
12.00	0.00	0.16	0.35	0.57
13.00	0.00	0.18	0.40	0.62
14.00	0.00	0.20	0.43	0.62
15.00	0.00	0.21	0.42	0.59
16.00	0.00	0.22	0.41	0.53
17.00	0.00	0.21	0.39	0.49
18.00	0.00	0.20	0.36	0.44
19.00	-0.01	0.20	0.34	0.41
20.00	0.00	0.19	0.31	0.36
